Tiempo (s) Serie Nº 1,Ángulo (rad),N2,N3,N4,N5,V. Vel. Angular (rad/s),N2,N3,N4,N5,Ac. angular (rad/s²),N2,N3,N4,N5,Pos. (m),N2,N3,N4,N5,V. Vel (m/s),N2,N3,N4,N5,Ac. (m/s²),N2,N3,N4,N5,Fuerza (N),N2,N3,N44,N5
0.89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.51,4.49,4.43,5.07,4.43
0.9,-0.209,-0.017,-0.017,-19.216,-14.835,-7.447,-0.233,-0.291,-48.055,-38.979,-105.495,-1.164,-20.556,42.47,7.563,-0.0052,-4.36E-04,-4.36E-04,-0.4802,-0.3707,-0.186,-0.007,-0.006,-1.201,-0.974,-2.636,-0.029,-0.514,1.061,0.189,1.55,4.5,4.36,5.23,4.34
0.91,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.75,4.48,4.25,5.35,4.26
0.92,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.17,4.5,4.1,5.42,4.13
0.93,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.51,4.45,3.94,5.5,4.17
0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.79,4.46,3.71,5.55,4.14
0.95,-0.716,-0.035,-0.017,-21.572,-16.773,-13.963,-0.291,-1.454,-45.495,-38.688,-131.675,-2.327,-54.105,56.626,5.236,-0.0179,-8.72E-04,-4.36E-04,-0.539,-0.4191,-0.349,-0.036,-0.007,-1.137,-0.967,-3.29,-0.058,-1.352,1.415,0.131,3,4.5,3.5,5.51,4.17
0.96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.17,4.49,3.22,5.55,4.19
0.97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.25,4.48,2.91,5.45,4.19
0.98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.21,4.49,2.56,5.45,4.34
0.99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.08,4.53,2.11,5.34,4.43
1,-1.606,-0.052,-0.087,-23.789,-18.692,-21.177,-0.407,-5.003,-42.237,-38.572,-146.026,-7.757,-101.035,66.71,6.012,-0.0401,-0.0013,-0.0022,-0.5944,-0.4671,-0.529,-0.125,-0.01,-1.055,-0.964,-3.649,-0.194,-2.525,1.667,0.15,2.84,4.51,1.66,5.25,4.58
1.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.68,4.5,1.36,5.47,4.62
1.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.43,4.48,1.07,5.46,4.85
1.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.29,4.42,0.94,5.54,4.89
1.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.02,4.41,1.01,5.65,4.98
1.05,-2.845,-0.07,-0.384,-25.813,-20.63,-28.623,-0.698,-11.636,-38.63,-38.339,-154.559,-25.016,-144.281,72.14,12.799,-0.0711,-0.0017,-0.0096,-0.645,-0.5155,-0.715,-0.291,-0.017,-0.965,-0.958,-3.862,-0.625,-3.605,1.803,0.32,1.77,4.29,1.27,5.59,4.96
1.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.57,4.17,1.45,5.61,5.07
1.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.44,4.03,1.76,5.49,4.96
1.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.38,3.88,1.93,5.46,4.86
1.09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.48,3.66,2.11,5.4,4.83
1.1,-4.433,-0.105,-1.152,-27.646,-22.55,-36.594,-2.153,-20.42,-34.907,-37.525,-158.631,-60.505,-164.837,73.886,25.598,-0.1108,-0.0026,-0.0288,-0.6908,-0.5635,-0.914,-0.51,-0.054,-0.872,-0.938,-3.964,-1.512,-4.119,1.846,0.64,1.58,3.39,2.16,5.42,4.9
1.11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.84,3.03,2.35,5.53,4.9
1.12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.05,2.68,2.33,5.43,4.92
1.13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.37,2.29,2.52,5.64,5
1.14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.63,1.85,2.63,5.4,5.1
1.15,-6.475,-0.192,-2.443,-29.304,-24.417,-44.913,-6.05,-29.322,-31.183,-35.896,-150.486,-110.731,-156.886,73.11,42.276,-0.1618,-0.0048,-0.0611,-0.7322,-0.6101,-1.122,-0.733,-0.151,-0.779,-0.897,-3.76,-2.767,-3.92,1.827,1.056,2.78,1.54,2.89,5.64,5.22
1.16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.98,1.33,3.12,5.42,5.3
1.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.05,1.15,3.19,5.38,5.38
1.18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.03,1.16,3.27,5.29,5.46
1.19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.07,1.11,3.2,5.21,5.46
1.2,-8.954,-0.576,-4.154,-30.77,-26.162,-52.476,-13.206,-36.768,-27.518,-33.336,-121.397,-159.019,-128.766,70.589,59.729,-0.2237,-0.0144,-0.1038,-0.7689,-0.6537,-1.311,-0.919,-0.33,-0.688,-0.833,-3.033,-3.973,-3.218,1.764,1.492,2.99,1.14,3.06,5.16,5.55
1.21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.03,1.22,3,5.12,5.66
1.22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.17,1.26,2.97,5.08,5.69
1.23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.4,1.46,3.06,5.29,5.73
1.24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.66,1.4,3.29,5.14,5.86
1.25,-11.798,-1.414,-6.178,-32.044,-27.786,-57.887,-22.864,-42.353,-24.086,-29.845,-69.813,-185.393,-91.727,68.456,74.467,-0.2948,-0.0353,-0.1544,-0.8007,-0.6943,-1.446,-1.058,-0.571,-0.602,-0.746,-1.744,-4.632,-2.292,1.711,1.861,4.07,1.52,3.43,5.41,5.84
1.26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.49,1.58,3.71,5.23,5.91
1.27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.74,1.73,3.88,5.3,5.88
1.28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.08,1.83,4.08,5.39,5.8
1.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.28,2.06,4.3,5.17,5.77
1.3,-14.853,-2.845,-8.447,-33.161,-29.182,-60.039,-33.045,-46.019,-20.828,-25.656,-3.297,-178.993,-51.584,69.425,82.418,-0.3711,-0.0711,-0.2111,-0.8286,-0.7292,-1.5,-1.15,-0.826,-0.52,-0.641,-0.082,-4.473,-1.289,1.735,2.059,5.6,2.18,4.43,5.42,5.67
1.31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.92,2.47,4.65,5.25,5.59
1.32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.04,2.53,4.59,5.41,5.54
1.33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.35,2.77,4.71,5.52,5.47
1.34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.51,2.79,4.73,5.55,5.51
1.35,-17.942,-4.782,-10.856,-34.139,-30.351,-58.294,-41.83,-47.589,-17.337,-21.235,64.771,-143.505,-10.666,73.692,81.449,-0.4483,-0.1195,-0.2713,-0.853,-0.7584,-1.457,-1.189,-1.045,-0.433,-0.531,1.618,-3.586,-0.267,1.841,2.035,6.71,3.01,4.92,5.69,5.41
1.36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.04,3.17,5.1,5.67,5.47
1.37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.09,3.42,5.29,5.73,5.37
1.38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.15,3.6,5.4,5.79,5.38
1.39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.12,4.02,5.49,5.69,5.23
1.4,-20.822,-7.121,-13.282,-34.924,-31.294,-53.058,-47.938,-47.008,-13.439,-17.221,120.04,-91.339,27.343,77.182,73.498,-0.5203,-0.1779,-0.3319,-0.8727,-0.7819,-1.326,-1.175,-1.198,-0.336,-0.43,2.999,-2.282,0.683,1.929,1.837,6.87,4.21,5.49,5.72,5.15
1.41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.9,4.42,5.61,5.64,5.05
1.42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.57,4.69,5.51,5.68,4.96
1.43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.57,4.67,5.48,5.62,5.04
1.44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.69,4.78,5.46,5.54,5.07
1.45,-23.318,-9.687,-15.621,-35.483,-32.044,-45.437,-51.022,-44.564,-9.367,-13.846,152.813,-35.682,57.402,74.855,63.608,-0.5826,-0.242,-0.3903,-0.8866,-0.8007,-1.135,-1.114,-1.275,-0.234,-0.346,3.818,-0.892,1.434,1.87,1.589,6.62,4.75,5.45,5.62,5.06
1.46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.93,4.79,5.52,5.46,5.15
1.47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.96,4.81,5.56,5.51,5.18
1.48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.13,4.89,5.73,5.31,5.16
1.49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.28,5.11,5.89,5.29,5.19
1.5,-25.395,-12.322,-17.785,-35.849,-32.655,-36.885,-51.254,-40.841,-5.643,-10.996,159.795,13.963,75.825,64.965,56.044,-0.6345,-0.3079,-0.4444,-0.8958,-0.816,-0.922,-1.021,-1.281,-0.141,-0.275,3.993,0.349,1.895,1.623,1.4,7.22,5.24,6,5.14,5.15
1.51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.27,5.45,5.98,4.94,5.18
1.52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.91,5.62,6.03,4.86,5.08
1.53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.67,5.64,5.87,4.77,5.15
1.54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.47,5.87,5.76,4.64,5.11
1.55,-27,-14.888,-19.722,-36.024,-33.144,-28.623,-49.218,-36.536,-2.676,-8.378,142.341,52.166,81.837,49.645,51.196,-0.6747,-0.372,-0.4928,-0.9001,-0.8282,-0.715,-0.913,-1.23,-0.067,-0.209,3.557,1.303,2.045,1.24,1.279,6.07,5.78,5.65,4.69,5.15
1.56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.93,5.91,5.54,4.57,5.22
1.57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.62,5.89,5.38,4.62,5.19
1.58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.37,5.86,5.42,4.61,5.23
1.59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.2,5.97,5.33,4.59,5.16
1.6,-28.205,-17.296,-21.433,-36.076,-33.493,-21.933,-45.553,-32.289,-0.64,-5.876,108.016,75.825,77.57,33.549,46.542,-0.7048,-0.4322,-0.5355,-0.9014,-0.8369,-0.548,-0.807,-1.138,-0.016,-0.147,2.699,1.895,1.938,0.838,1.163,4.86,5.95,5.39,4.64,5.08
1.61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.64,5.95,5.44,4.57,5
1.62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.42,5.91,5.34,4.59,4.94
1.63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.29,5.93,5.36,4.49,4.91
1.64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.22,5.85,5.09,4.56,4.84
1.65,-29.095,-19.478,-22.934,-36.058,-33.72,-17.686,-41.073,-28.565,0.524,-3.607,71.558,84.551,67.098,20.75,39.755,-0.727,-0.4867,-0.5731,-0.901,-0.8426,-0.442,-0.714,-1.026,0.013,-0.09,1.788,2.113,1.677,0.518,0.993,4.14,5.71,5.04,4.59,4.74
1.66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.21,5.55,4.81,4.55,4.77
1.67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.24,5.46,4.76,4.65,4.73
1.68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.49,5.32,4.76,4.68,4.81
1.69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.78,5.24,4.8,4.7,4.72
1.7,-29.88,-21.398,-24.26,-36.006,-33.842,-15.417,-36.652,-25.54,1.222,-1.804,48.675,82.03,55.657,12.217,30.834,-0.7466,-0.5347,-0.6062,-0.8997,-0.8456,-0.385,-0.638,-0.916,0.031,-0.045,1.216,2.05,1.391,0.305,0.77,4.89,5.13,4.76,4.68,4.74
1.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.15,5.22,4.97,4.7,4.67
1.72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.14,5.1,5.02,4.65,4.6
1.73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.33,5.27,5.07,4.53,4.63
