Tiempo (s) Serie Nº 1,Ángulo (rad),N2,N3,N4,N5,V. Vel. Angular (rad/s),N2,N3,N4,N5,Ac. angular (rad/s²),N2,N3,N4,N5,Pos. (m),N2,N3,N4,N5,V. Vel (m/s),N2,N3,N4,N5,Ac. (m/s²),N2,N3,N4,N5,Fuerza (N),N2,N3,N44,N5
1.74,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.36,5.24,5.14,4.51,4.49
1.75,-30.631,-23.108,-25.464,-35.936,-33.877,-13.672,-32.754,-23.155,1.687,-0.524,44.021,75.243,47.706,6.012,21.332,-0.7654,-0.5774,-0.6363,-0.898,-0.8465,-0.342,-0.579,-0.818,0.042,-0.013,1.1,1.88,1.192,0.15,0.533,5.42,5.28,5.16,4.45,4.56
1.76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.49,5.42,5.02,4.4,4.5
1.77,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.44,5.29,5.07,4.42,4.53
1.78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.55,5.45,4.97,4.32,4.57
1.79,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.51,5.25,4.97,4.38,4.57
1.8,-31.294,-24.661,-26.564,-35.832,-33.877,-11.345,-29.263,-21.002,1.862,0.291,48.869,69.619,44.409,0.194,12.799,-0.7819,-0.6162,-0.6638,-0.8953,-0.8465,-0.283,-0.525,-0.731,0.047,0.007,1.221,1.74,1.11,0.005,0.32,5.54,5.4,5.13,4.32,4.55
1.81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.55,5.27,5.07,4.24,4.55
1.82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.44,5.43,5.14,4.29,4.54
1.83,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.38,5.37,5.14,4.19,4.52
1.84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.17,5.46,5.13,4.2,4.44
1.85,-31.782,-26.04,-27.576,-35.727,-33.842,-8.552,-25.889,-18.791,1.687,0.698,51.584,65.935,43.245,-4.654,5.818,-0.7942,-0.6507,-0.6891,-0.8927,-0.8456,-0.214,-0.47,-0.647,0.042,0.017,1.289,1.648,1.081,-0.116,0.145,5.08,5.43,5.25,4.17,4.41
1.86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.96,5.49,5,4.15,4.38
1.87,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.81,5.41,5.03,4.21,4.35
1.88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.83,5.5,4.9,4.19,4.39
1.89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.71,5.22,4.81,4.26,4.37
1.9,-32.132,-27.245,-28.449,-35.657,-33.79,-5.876,-22.631,-16.581,1.28,0.814,47.706,61.862,40.918,-6.981,0.776,-0.8029,-0.6808,-0.7109,-0.891,-0.8443,-0.147,-0.414,-0.565,0.032,0.02,1.192,1.546,1.022,-0.174,0.019,4.79,5.35,4.85,4.32,4.4
1.91,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.81,5.14,4.79,4.34,4.4
1.92,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.8,5.1,4.87,4.41,4.36
1.93,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.9,5.05,4.91,4.39,4.33
1.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.84,4.92,4.9,4.41,4.33
1.95,-32.358,-28.292,-29.217,-35.605,-33.755,-3.665,-19.606,-14.603,0.873,0.698,39.755,55.657,36.846,-6.787,-2.133,-0.8086,-0.7069,-0.7301,-0.8897,-0.8434,-0.092,-0.365,-0.49,0.022,0.017,0.993,1.391,0.921,-0.17,-0.053,4.87,5.16,5.02,4.41,4.31
1.96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.82,4.94,4.86,4.43,4.32
1.97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.78,5.07,4.92,4.44,4.32
1.98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.85,5.02,4.84,4.41,4.32
1.99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.81,4.97,4.76,4.44,4.34
2,-32.481,-29.199,-29.897,-35.57,-33.72,-1.92,-16.988,-12.915,0.582,0.524,31.222,47.512,32.386,-5.43,-3.297,-0.8116,-0.7296,-0.7471,-0.8888,-0.8426,-0.048,-0.323,-0.424,0.015,0.013,0.78,1.187,0.809,-0.136,-0.082,4.86,5.03,4.81,4.45,4.37
2.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.92,4.86,4.65,4.47,4.42
2.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.89,4.94,4.74,4.47,4.41
2.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.93,4.9,4.74,4.43,4.45
2.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.82,4.78,4.76,4.43,4.44
2.05,-32.533,-29.967,-30.508,-35.552,-33.702,-0.582,-14.835,-11.403,0.349,0.349,22.883,38.203,28.895,-,-,-0.8129,-0.7488,-0.7623,-0.8884,-0.8421,-0.015,-0.285,-0.371,0.009,0.009,0.572,0.955,0.722,-,-,4.8,5.02,4.86,4.38,4.45
2.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.67,4.79,4.86,4.32,4.43
2.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.61,4.93,4.84,4.35,4.46
2.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.48,4.95,4.83,4.29,4.5
2.09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.35,4.63,4.7,4.32,4.5
2.1,-32.533,-30.665,-31.032,-35.535,-33.685,0.407,-13.148,-10.065,0.175,0.175,13.963,28.119,27.343,-,-,-0.8129,-0.7662,-0.7754,-0.8879,-0.8417,0.01,-0.251,-0.329,0.004,0.004,0.349,0.703,0.683,-,-,4.34,4.87,4.73,4.33,4.51
2.11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.27,4.49,4.63,4.32,4.55
2.12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.28,4.66,4.74,4.38,-
2.13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.36,4.44,4.67,-,-
2.14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.3,4.41,4.76,-,-
2.15,-32.481,-31.276,-31.503,-35.535,-33.685,0.873,-11.985,-8.785,-,-,4.848,17.841,28.119,-,-,-0.8116,-0.7815,-0.7872,-0.8879,-0.8417,0.022,-0.22,-0.299,-,-,0.121,0.446,0.703,-,-,4.37,4.41,4.92,-,-
2.16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.31,4.36,4.86,-,-
2.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.27,4.36,5.08,-,-
2.18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.29,4.42,4.97,-,-
2.19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.24,4.37,5.08,-,-
2.2,-32.411,-31.835,-31.922,-,-,0.814,-11.403,-7.33,-,-,-2.133,9.696,30.058,-,-,-0.8099,-0.7955,-0.7976,-,-,0.02,-0.183,-0.285,-,-,-0.053,0.242,0.751,-,-,4.3,4.46,5,-,-
2.21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.27,4.38,4.92,-,-
2.22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.3,4.39,4.9,-,-
2.23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.37,4.44,4.85,-,-
2.24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.38,4.38,4.85,-,-
2.25,-32.393,-32.393,-32.254,-,-,0.465,-11.228,-5.701,-,-,-,6.981,31.028,-,-,-0.8094,-0.8094,-0.8059,-,-,0.012,-0.142,-0.281,-,-,-,0.174,0.775,-,-,4.45,4.48,4.89,-,-
2.26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.44,4.44,4.9,-,-
2.27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.45,4.55,4.91,-,-
2.28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.39,4.6,4.85,-,-
2.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.36,4.72,4.88,-,-
2.3,-32.376,-32.969,-32.481,-,-,0.175,-10.996,-4.131,-,-,-,10.666,30.446,-,-,-0.809,-0.8238,-0.8116,-,-,0.004,-0.103,-0.275,-,-,-,0.267,0.761,-,-,4.36,4.73,4.81,-,-
2.31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.32,4.78,4.69,-,-
2.32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.72,4.68,-,-
2.33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.88,4.55,-,-
2.34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.75,4.63,-,-
2.35,-32.376,-33.51,-32.655,-,-,-,-10.297,-2.676,-,-,-,18.423,29.671,-,-,-0.809,-0.8373,-0.816,-,-,-,-0.067,-0.257,-,-,-,0.46,0.741,-,-,-,4.77,4.56,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.84,4.67,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.73,4.8,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.01,4.91,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.85,4.99,-,-
-,-,-34.016,-32.76,-,-,-,-9.134,-1.222,-,-,-,26.762,28.701,-,-,-,-0.85,-0.8186,-,-,-,-0.031,-0.228,-,-,-,0.669,0.717,-,-,-,4.99,5.02,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.02,5.08,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.92,5.04,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.03,5.02,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.92,4.97,-,-
-,-,-34.435,-32.777,-,-,-,-7.563,0.291,-,-,-,33.355,25.21,-,-,-,-0.8604,-0.819,-,-,-,0.007,-0.189,-,-,-,0.833,0.63,-,-,-,4.9,4.93,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.03,4.83,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.93,4.83,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.04,4.73,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.04,4.72,-,-
-,-,-34.784,-32.725,-,-,-,-5.701,1.513,-,-,-,37.428,17.065,-,-,-,-0.8692,-0.8177,-,-,-,0.038,-0.142,-,-,-,0.935,0.426,-,-,-,5.1,4.63,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.24,4.5,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.04,4.35,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.19,4.15,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.97,4.06,-,-
-,-,-35.011,-32.603,-,-,-,-3.723,2.153,-,-,-,38.203,5.43,-,-,-,-0.8748,-0.8147,-,-,-,0.054,-0.093,-,-,-,0.955,0.136,-,-,-,5.06,4,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.98,3.97,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.88,3.99,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.92,4.03,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.83,4.09,-,-
-,-,-35.151,-32.481,-,-,-,-1.745,2.036,-,-,-,35.876,-,-,-,-,-0.8783,-0.8116,-,-,-,0.051,-0.044,-,-,-,0.896,-,-,-,-,4.83,4.15,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.84,4.2,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.79,4.23,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.8,4.24,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.67,4.27,-,-
-,-,-35.186,-32.376,-,-,-,-0.058,1.396,-,-,-,-,-,-,-,-,-0.8792,-0.809,-,-,-,0.035,-0.001,-,-,-,-,-,-,-,-,4.63,4.27,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.65,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.53,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.63,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.51,-,-,-
-,-,-35.133,-32.341,-,-,-,1.396,-,-,-,-,-,-,-,-,-,-0.8779,-0.8081,-,-,-,-,0.035,-,-,-,-,-,-,-,-,4.6,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.6,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.61,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.58,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.56,-,-,-
-,-,-35.046,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.8757,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
